school_year,school_year_offset,course_id,course_name,course_track,section_id,section_label,teacher_id,teacher_label,enrolled_students,boy_present_count,eoy_present_count,boy_avg_present_score,eoy_avg_present_score,avg_observed_growth_delta,boy_nonparticipation_rate,eoy_nonparticipation_rate
2025-2026,0,MATH-GEOM,Geometry,regular,Y00-SEC-003,Geometry - Synthetic Section 01-03,TCH-002,Teacher 02,12,11,12,41.49,51.8,8.77,0.0833,0.0
2025-2026,0,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-021,AP Calculus AB - Synthetic Section 01-21,TCH-005,Teacher 05,13,11,10,58.9,66.46,4.73,0.1538,0.2308
2025-2026,0,MATH-GEOM,Geometry,regular,Y00-SEC-008,Geometry - Synthetic Section 01-08,TCH-002,Teacher 02,11,10,10,52.42,59.99,4.95,0.0909,0.0909
2025-2026,0,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,TCH-001,Teacher 01,11,10,11,31.2,43.29,9.96,0.0909,0.0
2026-2027,1,MATH-AP-CALC-AB,AP Calculus AB,ap,Y01-SEC-021,AP Calculus AB - Synthetic Section 02-21,TCH-005,Teacher 05,13,13,11,46.88,56.49,4.93,0.0,0.1538
2028-2029,3,MATH-AP-CALC-BC,AP Calculus BC,ap,Y03-SEC-024,AP Calculus BC - Synthetic Section 04-24,TCH-005,Teacher 05,13,12,10,68.96,74.26,3.09,0.0769,0.2308
2028-2029,3,MATH-ALG2-H,Honors Algebra 2,honors,Y03-SEC-011,Honors Algebra 2 - Synthetic Section 04-11,TCH-003,Teacher 03,10,8,8,57.16,57.28,5.13,0.2,0.2
2029-2030,4,MATH-ALG2,Algebra 2,regular,Y04-SEC-010,Algebra 2 - Synthetic Section 05-10,TCH-002,Teacher 02,13,11,13,37.87,44.74,6.17,0.1538,0.0
2029-2030,4,MATH-ALG2-H,Honors Algebra 2,honors,Y04-SEC-011,Honors Algebra 2 - Synthetic Section 05-11,TCH-003,Teacher 03,12,12,12,54.5,61.72,7.22,0.0,0.0
2030-2031,5,MATH-AP-CALC-AB,AP Calculus AB,ap,Y05-SEC-021,AP Calculus AB - Synthetic Section 06-21,TCH-005,Teacher 05,11,11,10,51.71,59.31,6.6,0.0,0.0909
2030-2031,5,MATH-AP-CALC-AB,AP Calculus AB,ap,Y05-SEC-022,AP Calculus AB - Synthetic Section 06-22,TCH-005,Teacher 05,11,11,10,48.14,54.48,6.21,0.0,0.0909
2025-2026,0,MATH-ALG2,Algebra 2,regular,Y00-SEC-011,Algebra 2 - Synthetic Section 01-11,TCH-003,Teacher 03,11,10,11,46.23,52.18,6.31,0.0909,0.0
2025-2026,0,MATH-GEOM,Geometry,regular,Y00-SEC-007,Geometry - Synthetic Section 01-07,TCH-001,Teacher 01,12,12,12,29.49,37.37,7.88,0.0,0.0
2029-2030,4,MATH-AP-CALC-AB,AP Calculus AB,ap,Y04-SEC-021,AP Calculus AB - Synthetic Section 05-21,TCH-005,Teacher 05,11,11,11,49.22,53.18,3.95,0.0,0.0
2029-2030,4,MATH-AP-PRECALC,AP Precalculus,ap,Y04-SEC-016,AP Precalculus - Synthetic Section 05-16,TCH-004,Teacher 04,10,10,9,58.91,65.33,4.34,0.0,0.1
2031-2032,6,MATH-PRECALC,Precalculus,regular,Y06-SEC-015,Precalculus - Synthetic Section 07-15,TCH-003,Teacher 03,11,11,11,35.89,42.02,6.13,0.0,0.0
2026-2027,1,MATH-BEYOND-CORE,Beyond Core Math Sequence,beyond_core,Y01-SEC-024,Beyond Core Math Sequence - Synthetic Section 02-24,TCH-005,Teacher 05,4,4,4,67.26,70.36,3.1,0.0,0.0
2025-2026,0,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-024,AP Calculus AB - Synthetic Section 01-24,TCH-005,Teacher 05,12,11,10,55.69,61.7,6.63,0.0833,0.1667
2025-2026,0,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-013,Honors Algebra 2 - Synthetic Section 01-13,TCH-003,Teacher 03,11,11,11,50.21,54.21,3.99,0.0,0.0
2026-2027,1,MATH-GEOM,Geometry,regular,Y01-SEC-003,Geometry - Synthetic Section 02-03,TCH-001,Teacher 01,13,11,11,38.69,42.89,3.27,0.1538,0.1538
2027-2028,2,MATH-AP-CALC-AB,AP Calculus AB,ap,Y02-SEC-017,AP Calculus AB - Synthetic Section 03-17,TCH-005,Teacher 05,12,11,12,43.86,51.92,8.79,0.0833,0.0
2027-2028,2,MATH-AP-CALC-AB,AP Calculus AB,ap,Y02-SEC-018,AP Calculus AB - Synthetic Section 03-18,TCH-005,Teacher 05,12,12,11,45.49,51.55,5.5,0.0,0.0833
2027-2028,2,MATH-PRECALC,Precalculus,regular,Y02-SEC-014,Precalculus - Synthetic Section 03-14,TCH-003,Teacher 03,14,12,14,42.39,46.72,6.48,0.1429,0.0
2027-2028,2,MATH-ALG2,Algebra 2,regular,Y02-SEC-007,Algebra 2 - Synthetic Section 03-07,TCH-002,Teacher 02,13,12,13,34.73,42.01,6.82,0.0769,0.0
2028-2029,3,MATH-PRECALC,Precalculus,regular,Y03-SEC-018,Precalculus - Synthetic Section 04-18,TCH-003,Teacher 03,12,11,12,35.24,41.65,6.11,0.0833,0.0
2028-2029,3,MATH-GEOM,Geometry,regular,Y03-SEC-003,Geometry - Synthetic Section 04-03,TCH-002,Teacher 02,14,13,14,45.83,53.22,7.01,0.0714,0.0
2028-2029,3,MATH-ALG1,Algebra 1,regular,Y03-SEC-001,Algebra 1 - Synthetic Section 04-01,TCH-001,Teacher 01,8,7,8,37.15,45.81,6.74,0.125,0.0
2029-2030,4,MATH-AP-PRECALC,AP Precalculus,ap,Y04-SEC-015,AP Precalculus - Synthetic Section 05-15,TCH-004,Teacher 04,11,11,10,49.34,54.69,8.71,0.0,0.0909
2029-2030,4,MATH-ALG2-H,Honors Algebra 2,honors,Y04-SEC-013,Honors Algebra 2 - Synthetic Section 05-13,TCH-003,Teacher 03,11,10,10,53.97,59.87,5.5,0.0909,0.0909
2029-2030,4,MATH-GEOM,Geometry,regular,Y04-SEC-007,Geometry - Synthetic Section 05-07,TCH-001,Teacher 01,13,12,12,43.75,48.38,6.78,0.0769,0.0769
