section_dim_id,school_year,school_year_offset,section_id,section_label,period_label,course_id,course_dim_id,teacher_id,teacher_dim_id,teacher_label,target_enrollment,max_capacity,class_size_band,section_growth_effect,teacher_growth_effect
1,2025-2026,0,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,Period 1,MATH-ALG1,1,TCH-001,1,Teacher 01,11,12,small,-0.3,-0.25
2,2025-2026,0,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,Period 2,MATH-ALG1,1,TCH-001,1,Teacher 01,10,12,small,-0.2,-0.25
3,2025-2026,0,Y00-SEC-003,Geometry - Synthetic Section 01-03,Period 1,MATH-GEOM,2,TCH-002,2,Teacher 02,12,12,small,-0.1,0.1
4,2025-2026,0,Y00-SEC-004,Geometry - Synthetic Section 01-04,Period 2,MATH-GEOM,2,TCH-002,2,Teacher 02,12,12,small,0.0,0.1
5,2025-2026,0,Y00-SEC-005,Geometry - Synthetic Section 01-05,Period 3,MATH-GEOM,2,TCH-001,1,Teacher 01,12,12,small,0.1,-0.25
6,2025-2026,0,Y00-SEC-006,Geometry - Synthetic Section 01-06,Period 3,MATH-GEOM,2,TCH-002,2,Teacher 02,12,12,small,0.2,0.1
7,2025-2026,0,Y00-SEC-007,Geometry - Synthetic Section 01-07,Period 4,MATH-GEOM,2,TCH-001,1,Teacher 01,12,12,small,0.3,-0.25
8,2025-2026,0,Y00-SEC-008,Geometry - Synthetic Section 01-08,Period 4,MATH-GEOM,2,TCH-002,2,Teacher 02,11,12,small,-0.3,0.1
9,2025-2026,0,Y00-SEC-009,Algebra 2 - Synthetic Section 01-09,Period 5,MATH-ALG2,3,TCH-002,2,Teacher 02,12,12,small,-0.2,0.1
10,2025-2026,0,Y00-SEC-010,Algebra 2 - Synthetic Section 01-10,Period 6,MATH-ALG2,3,TCH-002,2,Teacher 02,12,12,small,-0.1,0.1
11,2025-2026,0,Y00-SEC-011,Algebra 2 - Synthetic Section 01-11,Period 1,MATH-ALG2,3,TCH-003,3,Teacher 03,11,12,small,0.0,0.2
12,2025-2026,0,Y00-SEC-012,Honors Algebra 2 - Synthetic Section 01-12,Period 2,MATH-ALG2-H,4,TCH-003,3,Teacher 03,11,12,small,0.1,0.2
13,2025-2026,0,Y00-SEC-013,Honors Algebra 2 - Synthetic Section 01-13,Period 3,MATH-ALG2-H,4,TCH-003,3,Teacher 03,11,12,small,0.2,0.2
14,2025-2026,0,Y00-SEC-014,Honors Algebra 2 - Synthetic Section 01-14,Period 4,MATH-ALG2-H,4,TCH-003,3,Teacher 03,11,12,small,0.3,0.2
15,2025-2026,0,Y00-SEC-015,Honors Algebra 2 - Synthetic Section 01-15,Period 5,MATH-ALG2-H,4,TCH-003,3,Teacher 03,10,12,small,-0.3,0.2
16,2025-2026,0,Y00-SEC-016,AP Precalculus - Synthetic Section 01-16,Period 1,MATH-AP-PRECALC,5,TCH-004,4,Teacher 04,10,12,small,-0.2,-0.1
17,2025-2026,0,Y00-SEC-017,AP Precalculus - Synthetic Section 01-17,Period 2,MATH-AP-PRECALC,5,TCH-004,4,Teacher 04,10,12,small,-0.1,-0.1
18,2025-2026,0,Y00-SEC-018,AP Precalculus - Synthetic Section 01-18,Period 3,MATH-AP-PRECALC,5,TCH-004,4,Teacher 04,9,12,small,0.0,-0.1
19,2025-2026,0,Y00-SEC-019,Precalculus - Synthetic Section 01-19,Period 4,MATH-PRECALC,6,TCH-004,4,Teacher 04,8,12,small,0.1,-0.1
20,2025-2026,0,Y00-SEC-020,Precalculus - Synthetic Section 01-20,Period 5,MATH-PRECALC,6,TCH-004,4,Teacher 04,8,12,small,0.2,-0.1
21,2025-2026,0,Y00-SEC-021,AP Calculus AB - Synthetic Section 01-21,Period 1,MATH-AP-CALC-AB,7,TCH-005,5,Teacher 05,13,18,standard,0.3,0.05
22,2025-2026,0,Y00-SEC-022,AP Calculus AB - Synthetic Section 01-22,Period 2,MATH-AP-CALC-AB,7,TCH-005,5,Teacher 05,12,12,small,-0.3,0.05
23,2025-2026,0,Y00-SEC-023,AP Calculus AB - Synthetic Section 01-23,Period 3,MATH-AP-CALC-AB,7,TCH-005,5,Teacher 05,12,12,small,-0.2,0.05
24,2025-2026,0,Y00-SEC-024,AP Calculus AB - Synthetic Section 01-24,Period 4,MATH-AP-CALC-AB,7,TCH-005,5,Teacher 05,12,12,small,-0.1,0.05
25,2025-2026,0,Y00-SEC-025,AP Calculus BC - Synthetic Section 01-25,Period 5,MATH-AP-CALC-BC,8,TCH-005,5,Teacher 05,12,12,small,0.0,0.05
26,2025-2026,0,Y00-SEC-026,AP Calculus BC - Synthetic Section 01-26,Period 6,MATH-AP-CALC-BC,8,TCH-005,5,Teacher 05,11,12,small,0.1,0.05
27,2026-2027,1,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,Period 1,MATH-ALG1,1,TCH-001,6,Teacher 01,13,18,standard,-0.3,-0.25
28,2026-2027,1,Y01-SEC-002,Geometry - Synthetic Section 02-02,Period 1,MATH-GEOM,2,TCH-002,7,Teacher 02,14,18,standard,-0.2,0.1
29,2026-2027,1,Y01-SEC-003,Geometry - Synthetic Section 02-03,Period 2,MATH-GEOM,2,TCH-001,6,Teacher 01,13,18,standard,-0.1,-0.25
30,2026-2027,1,Y01-SEC-004,Geometry - Synthetic Section 02-04,Period 2,MATH-GEOM,2,TCH-002,7,Teacher 02,13,18,standard,0.0,0.1
31,2026-2027,1,Y01-SEC-005,Geometry - Synthetic Section 02-05,Period 3,MATH-GEOM,2,TCH-001,6,Teacher 01,13,18,standard,0.1,-0.25
32,2026-2027,1,Y01-SEC-006,Algebra 2 - Synthetic Section 02-06,Period 3,MATH-ALG2,3,TCH-002,7,Teacher 02,11,12,small,0.2,0.1
33,2026-2027,1,Y01-SEC-007,Algebra 2 - Synthetic Section 02-07,Period 4,MATH-ALG2,3,TCH-002,7,Teacher 02,11,12,small,0.3,0.1
34,2026-2027,1,Y01-SEC-008,Algebra 2 - Synthetic Section 02-08,Period 5,MATH-ALG2,3,TCH-002,7,Teacher 02,11,12,small,-0.3,0.1
35,2026-2027,1,Y01-SEC-009,Algebra 2 - Synthetic Section 02-09,Period 6,MATH-ALG2,3,TCH-002,7,Teacher 02,10,12,small,-0.2,0.1
36,2026-2027,1,Y01-SEC-010,Honors Algebra 2 - Synthetic Section 02-10,Period 1,MATH-ALG2-H,4,TCH-003,8,Teacher 03,14,18,standard,-0.1,0.2
37,2026-2027,1,Y01-SEC-011,Honors Algebra 2 - Synthetic Section 02-11,Period 2,MATH-ALG2-H,4,TCH-003,8,Teacher 03,13,18,standard,0.0,0.2
38,2026-2027,1,Y01-SEC-012,Honors Algebra 2 - Synthetic Section 02-12,Period 3,MATH-ALG2-H,4,TCH-003,8,Teacher 03,13,18,standard,0.1,0.2
39,2026-2027,1,Y01-SEC-013,AP Precalculus - Synthetic Section 02-13,Period 1,MATH-AP-PRECALC,5,TCH-004,9,Teacher 04,12,12,small,0.2,-0.1
40,2026-2027,1,Y01-SEC-014,AP Precalculus - Synthetic Section 02-14,Period 2,MATH-AP-PRECALC,5,TCH-004,9,Teacher 04,11,12,small,0.3,-0.1
41,2026-2027,1,Y01-SEC-015,AP Precalculus - Synthetic Section 02-15,Period 3,MATH-AP-PRECALC,5,TCH-004,9,Teacher 04,11,12,small,-0.3,-0.1
42,2026-2027,1,Y01-SEC-016,AP Precalculus - Synthetic Section 02-16,Period 4,MATH-AP-PRECALC,5,TCH-004,9,Teacher 04,11,12,small,-0.2,-0.1
43,2026-2027,1,Y01-SEC-017,Precalculus - Synthetic Section 02-17,Period 4,MATH-PRECALC,6,TCH-003,8,Teacher 03,12,12,small,-0.1,0.2
44,2026-2027,1,Y01-SEC-018,Precalculus - Synthetic Section 02-18,Period 5,MATH-PRECALC,6,TCH-003,8,Teacher 03,12,12,small,0.0,0.2
45,2026-2027,1,Y01-SEC-019,Precalculus - Synthetic Section 02-19,Period 5,MATH-PRECALC,6,TCH-004,9,Teacher 04,11,12,small,0.1,-0.1
46,2026-2027,1,Y01-SEC-020,AP Calculus AB - Synthetic Section 02-20,Period 1,MATH-AP-CALC-AB,7,TCH-005,10,Teacher 05,14,18,standard,0.2,0.05
47,2026-2027,1,Y01-SEC-021,AP Calculus AB - Synthetic Section 02-21,Period 2,MATH-AP-CALC-AB,7,TCH-005,10,Teacher 05,13,18,standard,0.3,0.05
48,2026-2027,1,Y01-SEC-022,AP Calculus BC - Synthetic Section 02-22,Period 3,MATH-AP-CALC-BC,8,TCH-005,10,Teacher 05,14,18,standard,-0.3,0.05
49,2026-2027,1,Y01-SEC-023,AP Calculus BC - Synthetic Section 02-23,Period 4,MATH-AP-CALC-BC,8,TCH-005,10,Teacher 05,13,18,standard,-0.2,0.05
50,2026-2027,1,Y01-SEC-024,Beyond Core Math Sequence - Synthetic Section 02-24,Period 5,MATH-BEYOND-CORE,9,TCH-005,10,Teacher 05,4,6,micro,-0.1,0.05
