student_dim_id,sis_user_id,student_label,export_id,canvas_gradebook_section,graduation_year,graduation_year_suffix,cohort_label,entry_school_year,entry_school_year_offset,graduation_school_year,graduation_school_year_offset,attendance_category,attendance_probability,latest_academic_profile_status,latest_posterior_readiness,latest_latent_readiness,latest_present_score
1,SYN-SIS-000001,Synthetic Student 001,SYN-EXP-000001,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.8841,updated_assignment_08,59.53224333646635,53.5973,60.69
2,SYN-SIS-000002,Synthetic Student 002,SYN-EXP-000002,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9774,updated_assignment_06,59.77891951188243,60.8233,60.29
3,SYN-SIS-000003,Synthetic Student 003,SYN-EXP-000003,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9866,updated_assignment_04,32.595886861951506,28.7931,33.33
4,SYN-SIS-000004,Synthetic Student 004,SYN-EXP-000004,Section D,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9667,updated_assignment_04,52.00664814543802,54.204,53.12
5,SYN-SIS-000005,Synthetic Student 005,SYN-EXP-000005,Section A,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9907,updated_assignment_02,51.65011940695601,51.9997,53.51
6,SYN-SIS-000006,Synthetic Student 006,SYN-EXP-000006,Section B,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9444,updated_assignment_04,57.24865926071865,60.3894,57.36
7,SYN-SIS-000007,Synthetic Student 007,SYN-EXP-000007,Section C,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.9139,updated_assignment_02,64.82314452586208,62.0919,66.4
8,SYN-SIS-000008,Synthetic Student 008,SYN-EXP-000008,Section D,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9429,updated_assignment_04,71.49280435490195,73.1674,72.55
9,SYN-SIS-000009,Synthetic Student 009,SYN-EXP-000009,Section A,2027,27,class_of_2027,2025-2026,0,2026-2027,1,at_risk,0.708,updated_assignment_04,78.97178528091558,81.1039,79.54
10,SYN-SIS-000010,Synthetic Student 010,SYN-EXP-000010,Section B,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.9258,initialized_assignment_02,67.92970862068965,69.1971,70.05
11,SYN-SIS-000011,Synthetic Student 011,SYN-EXP-000011,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9686,updated_assignment_08,56.17926522098312,58.3294,57.23
12,SYN-SIS-000012,Synthetic Student 012,SYN-EXP-000012,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9811,updated_assignment_08,55.67049985697222,58.3286,55.97
