teacher_dim_id,school_year,teacher_id,teacher_label,target_section_load,teacher_growth_effect
1,2025-2026,TCH-001,Teacher 01,5,-0.25
2,2025-2026,TCH-002,Teacher 02,5,0.1
3,2025-2026,TCH-003,Teacher 03,5,0.2
4,2025-2026,TCH-004,Teacher 04,5,-0.1
5,2025-2026,TCH-005,Teacher 05,5,0.05
6,2026-2027,TCH-001,Teacher 01,5,-0.25
7,2026-2027,TCH-002,Teacher 02,5,0.1
8,2026-2027,TCH-003,Teacher 03,5,0.2
9,2026-2027,TCH-004,Teacher 04,5,-0.1
10,2026-2027,TCH-005,Teacher 05,5,0.05
11,2027-2028,TCH-001,Teacher 01,5,-0.25
12,2027-2028,TCH-002,Teacher 02,5,0.1
13,2027-2028,TCH-003,Teacher 03,5,0.2
14,2027-2028,TCH-004,Teacher 04,5,-0.1
15,2027-2028,TCH-005,Teacher 05,5,0.05
16,2028-2029,TCH-001,Teacher 01,5,-0.25
17,2028-2029,TCH-002,Teacher 02,5,0.1
18,2028-2029,TCH-003,Teacher 03,5,0.2
19,2028-2029,TCH-004,Teacher 04,5,-0.1
20,2028-2029,TCH-005,Teacher 05,5,0.05
21,2029-2030,TCH-001,Teacher 01,5,-0.25
22,2029-2030,TCH-002,Teacher 02,5,0.1
23,2029-2030,TCH-003,Teacher 03,5,0.2
24,2029-2030,TCH-004,Teacher 04,5,-0.1
25,2029-2030,TCH-005,Teacher 05,5,0.05
26,2030-2031,TCH-001,Teacher 01,5,-0.25
27,2030-2031,TCH-002,Teacher 02,5,0.1
28,2030-2031,TCH-003,Teacher 03,5,0.2
29,2030-2031,TCH-004,Teacher 04,5,-0.1
30,2030-2031,TCH-005,Teacher 05,5,0.05
31,2031-2032,TCH-001,Teacher 01,5,-0.25
32,2031-2032,TCH-002,Teacher 02,5,0.1
33,2031-2032,TCH-003,Teacher 03,5,0.2
34,2031-2032,TCH-004,Teacher 04,5,-0.1
35,2031-2032,TCH-005,Teacher 05,5,0.05
