assessment_score_fact_id,student_dim_id,course_dim_id,section_dim_id,teacher_dim_id,assignment_dim_id,school_year,school_year_offset,sis_user_id,course_id,section_id,teacher_id,assignment_label,sequence_index,assessment_window,expected_transition_type,actual_transition_type,generation_mode,population_status,score,present_student_score,potential_score,posterior_readiness_after,growth_delta,latent_transition_type,latent_readiness_before,latent_readiness_after,latent_transition_delta,is_populated,is_present,is_nonparticipation_zero
1,1,4,14,3,1,2025-2026,0,SYN-SIS-000001,MATH-ALG2-H,Y00-SEC-014,TCH-003,Assignment 01,1,beginning_of_year,initialize_readiness,absent_no_update,absent_no_update,populated,0.0,,,,,initialize_latent_readiness,,40.32,,true,false,true
2,1,4,14,3,2,2025-2026,0,SYN-SIS-000001,MATH-ALG2-H,Y00-SEC-014,TCH-003,Assignment 02,2,end_of_year,school_year_growth,initialize_readiness,first_present_evidence_from_latent,populated,44.19,44.19,44.79,44.9364,,school_year_growth,40.32,44.7896,4.4696,true,true,false
3,2,3,11,3,1,2025-2026,0,SYN-SIS-000002,MATH-ALG2,Y00-SEC-011,TCH-003,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,53.15,53.15,52.85,52.1639,,initialize_latent_readiness,,52.85,,true,true,false
4,2,3,11,3,2,2025-2026,0,SYN-SIS-000002,MATH-ALG2,Y00-SEC-011,TCH-003,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,57.71,57.71,59.54,56.7244,4.56,school_year_growth,52.85,59.5394,6.6894,true,true,false
5,3,3,11,3,1,2025-2026,0,SYN-SIS-000003,MATH-ALG2,Y00-SEC-011,TCH-003,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,21.44,21.44,18.64,25.653,,initialize_latent_readiness,,18.64,,true,true,false
6,3,3,11,3,2,2025-2026,0,SYN-SIS-000003,MATH-ALG2,Y00-SEC-011,TCH-003,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,26.9,26.9,29.65,27.2404,5.46,school_year_growth,18.64,29.6545,11.0145,true,true,false
7,4,3,10,2,1,2025-2026,0,SYN-SIS-000004,MATH-ALG2,Y00-SEC-010,TCH-002,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,47.52,47.52,45.93,47.6861,,initialize_latent_readiness,,45.93,,true,true,false
8,4,3,10,2,2,2025-2026,0,SYN-SIS-000004,MATH-ALG2,Y00-SEC-010,TCH-002,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,52.69,52.69,50.78,51.9346,5.17,school_year_growth,45.93,50.7807,4.8507,true,true,false
9,5,7,24,5,1,2025-2026,0,SYN-SIS-000005,MATH-AP-CALC-AB,Y00-SEC-024,TCH-005,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,35.69,35.69,43.47,38.9014,,initialize_latent_readiness,,43.47,,true,true,false
10,5,7,24,5,2,2025-2026,0,SYN-SIS-000005,MATH-AP-CALC-AB,Y00-SEC-024,TCH-005,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,53.51,53.51,52.0,51.6501,17.82,school_year_growth,43.47,51.9997,8.5297,true,true,false
11,6,7,22,5,1,2025-2026,0,SYN-SIS-000006,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,48.63,48.63,52.11,49.5549,,initialize_latent_readiness,,52.11,,true,true,false
12,6,7,22,5,2,2025-2026,0,SYN-SIS-000006,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,58.36,58.36,58.01,57.1109,9.73,school_year_growth,52.11,58.0089,5.8989,true,true,false
13,7,7,22,5,1,2025-2026,0,SYN-SIS-000007,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,56.18,56.18,55.17,56.212,,initialize_latent_readiness,,55.17,,true,true,false
