lms_enrollment_fact_id,student_dim_id,course_dim_id,section_dim_id,teacher_dim_id,extraction_batch_id,source_system,school_year,canvas_course_id,course_id,section_id,teacher_id,sis_user_id,grade_level,enrollment_status,is_active_enrollment,reconciliation_status
1,17,1,1,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-001,TCH-001,SYN-SIS-000017,9,active,true,matched
2,35,1,1,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-001,TCH-001,SYN-SIS-000035,9,active,true,matched
3,46,1,1,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-001,TCH-001,SYN-SIS-000046,9,active,true,matched
4,81,1,1,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-001,TCH-001,SYN-SIS-000081,9,active,true,matched
5,100,1,1,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-001,TCH-001,SYN-SIS-000100,9,active,true,matched
6,113,1,1,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-001,TCH-001,SYN-SIS-000113,9,active,true,matched
7,115,1,1,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-001,TCH-001,SYN-SIS-000115,10,active,true,matched
8,142,1,1,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-001,TCH-001,SYN-SIS-000142,9,active,true,matched
9,172,1,1,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-001,TCH-001,SYN-SIS-000172,9,active,true,matched
10,225,1,1,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-001,TCH-001,SYN-SIS-000225,9,active,true,matched
11,279,1,1,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-001,TCH-001,SYN-SIS-000279,9,active,true,matched
12,50,1,2,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-002,TCH-001,SYN-SIS-000050,9,active,true,matched
13,65,1,2,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-002,TCH-001,SYN-SIS-000065,9,active,true,matched
