school_year,school_year_offset,grade_level,course_track,attendance_category,student_year_count,avg_attendance_probability,boy_nonparticipation_rate,eoy_nonparticipation_rate,boy_avg_present_score,eoy_avg_present_score,avg_observed_growth_delta
2025-2026,0,9,regular,high,37,0.9793,0.027,0.027,38.79,44.21,6.42
2025-2026,0,10,honors,normal,12,0.9209,0.0,0.0833,46.78,52.69,5.13
2025-2026,0,11,regular,high,13,0.9823,0.0,0.0,47.05,51.84,4.79
2026-2027,1,12,ap,high,17,0.9831,0.0588,0.1176,61.76,70.28,4.67
2027-2028,2,11,ap,high,19,0.9753,0.0,0.0,64.49,67.67,3.18
2027-2028,2,12,regular,normal,7,0.9278,0.0,0.0,37.73,41.93,4.19
2027-2028,2,9,regular,high,25,0.9813,0.0,0.08,38.0,43.9,6.64
2028-2029,3,12,ap,normal,27,0.9189,0.0741,0.1852,58.07,62.06,4.21
2028-2029,3,9,ap,high,2,0.9822,0.0,0.5,27.06,42.63,5.53
2029-2030,4,12,beyond_core,high,2,0.9774,0.0,0.0,74.77,77.28,2.51
2029-2030,4,12,regular,high,5,0.9896,0.0,0.0,42.15,46.01,3.86
2029-2030,4,10,ap,high,6,0.9837,0.0,0.0,46.75,53.75,7.01
2030-2031,5,10,honors,high,8,0.983,0.125,0.0,61.53,70.78,8.01
2031-2032,6,11,ap,high,16,0.9836,0.0,0.125,57.12,65.3,6.8
2031-2032,6,10,honors,high,5,0.9858,0.0,0.0,70.91,75.97,5.07
2031-2032,6,9,honors,high,5,0.9784,0.0,0.0,60.46,67.95,7.48
2026-2027,1,12,honors,normal,1,0.9333,0.0,0.0,88.01,91.45,3.44
2026-2027,1,10,regular,at_risk,3,0.7008,0.3333,0.0,26.11,36.71,5.16
2029-2030,4,11,ap,normal,9,0.9132,0.0,0.0,69.35,72.91,3.56
2030-2031,5,12,regular,high,6,0.9819,0.0,0.0,37.93,40.27,2.33
2030-2031,5,12,beyond_core,at_risk,2,0.7035,0.5,0.0,76.06,84.18,7.11
2030-2031,5,10,ap,high,8,0.9842,0.0,0.0,44.04,49.28,5.24
2028-2029,3,10,honors,normal,7,0.9021,0.0,0.1429,69.52,76.69,8.55
2025-2026,0,11,honors,normal,5,0.9328,0.0,0.0,68.28,74.52,6.24
2027-2028,2,11,regular,at_risk,3,0.7008,0.6667,0.0,43.32,41.85,4.03
2028-2029,3,11,regular,at_risk,2,0.7161,0.0,0.0,44.77,47.69,2.92
2028-2029,3,11,ap,at_risk,4,0.7054,0.0,0.25,53.69,63.32,4.47
2030-2031,5,9,regular,at_risk,2,0.6738,0.5,0.0,11.14,26.39,8.95
2026-2027,1,12,beyond_core,normal,3,0.9208,0.0,0.0,68.36,71.62,3.27
2025-2026,0,11,ap,at_risk,2,0.7264,0.5,0.5,44.28,47.26,2.98
2025-2026,0,10,ap,at_risk,2,0.6563,0.0,0.0,36.33,37.14,0.81
2025-2026,0,9,ap,high,3,0.9569,0.3333,0.0,76.42,69.26,3.94
2025-2026,0,10,regular,normal,25,0.9233,0.2,0.08,45.66,53.34,7.16
2026-2027,1,10,honors,high,8,0.9701,0.0,0.0,68.13,74.35,6.22
2027-2028,2,10,regular,normal,16,0.936,0.0,0.0,39.15,43.91,4.76
2028-2029,3,10,regular,high,22,0.9829,0.0455,0.0,36.1,43.07,6.46
2028-2029,3,9,regular,normal,32,0.914,0.0625,0.125,45.68,51.3,6.22
2029-2030,4,12,ap,at_risk,4,0.688,0.0,0.25,57.9,51.97,-1.72
2029-2030,4,11,regular,high,21,0.9833,0.0476,0.0,38.38,44.97,6.37
2029-2030,4,9,regular,normal,36,0.9192,0.0278,0.1389,41.85,49.08,6.39
2030-2031,5,11,ap,normal,21,0.932,0.0476,0.1905,61.11,65.09,4.4
2030-2031,5,10,regular,normal,29,0.9176,0.069,0.0345,38.66,46.88,7.55
