school_year,school_year_offset,teacher_id,teacher_label,section_id,section_label,course_id,course_name,course_track,class_size_band,target_enrollment,max_capacity,section_growth_effect,teacher_growth_effect,enrolled_students,boy_avg_all_students,eoy_avg_all_students,avg_observed_growth_delta,eoy_present_rate
2025-2026,0,TCH-005,Teacher 05,Y00-SEC-023,AP Calculus AB - Synthetic Section 01-23,MATH-AP-CALC-AB,AP Calculus AB,ap,small,12,12,-0.2,0.05,12,52.7,61.52,3.25,1.0
2025-2026,0,TCH-002,Teacher 02,Y00-SEC-004,Geometry - Synthetic Section 01-04,MATH-GEOM,Geometry,regular,small,12,12,0.0,0.1,12,44.22,49.73,5.51,1.0
2025-2026,0,TCH-003,Teacher 03,Y00-SEC-013,Honors Algebra 2 - Synthetic Section 01-13,MATH-ALG2-H,Honors Algebra 2,honors,small,11,12,0.2,0.2,11,50.21,54.21,3.99,1.0
2025-2026,0,TCH-004,Teacher 04,Y00-SEC-020,Precalculus - Synthetic Section 01-20,MATH-PRECALC,Precalculus,regular,small,8,12,0.2,-0.1,8,58.38,62.18,3.8,1.0
2026-2027,1,TCH-003,Teacher 03,Y01-SEC-017,Precalculus - Synthetic Section 02-17,MATH-PRECALC,Precalculus,regular,small,12,12,-0.1,0.2,12,51.08,56.48,5.39,1.0
2026-2027,1,TCH-002,Teacher 02,Y01-SEC-008,Algebra 2 - Synthetic Section 02-08,MATH-ALG2,Algebra 2,regular,small,11,12,-0.3,0.1,11,29.94,40.34,6.84,1.0
2027-2028,2,TCH-005,Teacher 05,Y02-SEC-017,AP Calculus AB - Synthetic Section 03-17,MATH-AP-CALC-AB,AP Calculus AB,ap,small,12,12,-0.1,0.05,12,40.2,51.92,8.79,1.0
2027-2028,2,TCH-001,Teacher 01,Y02-SEC-001,Algebra 1 - Synthetic Section 03-01,MATH-ALG1,Algebra 1,regular,standard,13,18,-0.3,-0.25,13,31.77,34.6,5.83,0.8462
2028-2029,3,TCH-005,Teacher 05,Y03-SEC-019,AP Calculus AB - Synthetic Section 04-19,MATH-AP-CALC-AB,AP Calculus AB,ap,standard,14,18,0.1,0.05,14,50.68,54.35,3.66,1.0
2028-2029,3,TCH-003,Teacher 03,Y03-SEC-011,Honors Algebra 2 - Synthetic Section 04-11,MATH-ALG2-H,Honors Algebra 2,honors,small,10,12,0.0,0.2,10,45.73,45.82,5.13,0.8
2029-2030,4,TCH-005,Teacher 05,Y04-SEC-023,AP Calculus AB - Synthetic Section 05-23,MATH-AP-CALC-AB,AP Calculus AB,ap,small,10,12,-0.2,0.05,10,42.16,49.02,4.7,0.9
2031-2032,6,TCH-002,Teacher 02,Y06-SEC-002,Geometry - Synthetic Section 07-02,MATH-GEOM,Geometry,regular,small,12,12,-0.2,0.1,12,33.38,50.47,9.02,1.0
2026-2027,1,TCH-004,Teacher 04,Y01-SEC-013,AP Precalculus - Synthetic Section 02-13,MATH-AP-PRECALC,AP Precalculus,ap,small,12,12,0.2,-0.1,12,47.37,56.54,2.27,1.0
2028-2029,3,TCH-004,Teacher 04,Y03-SEC-025,Beyond Core Math Sequence - Synthetic Section 04-25,MATH-BEYOND-CORE,Beyond Core Math Sequence,beyond_core,micro,6,6,0.0,-0.1,6,75.06,68.09,5.94,0.8333
2028-2029,3,TCH-005,Teacher 05,Y03-SEC-020,AP Calculus AB - Synthetic Section 04-20,MATH-AP-CALC-AB,AP Calculus AB,ap,standard,14,18,0.2,0.05,14,41.83,47.24,3.13,0.8571
2030-2031,5,TCH-004,Teacher 04,Y05-SEC-013,AP Precalculus - Synthetic Section 06-13,MATH-AP-PRECALC,AP Precalculus,ap,small,12,12,0.2,-0.1,12,65.39,64.39,2.1,0.9167
2030-2031,5,TCH-002,Teacher 02,Y05-SEC-008,Algebra 2 - Synthetic Section 06-08,MATH-ALG2,Algebra 2,regular,small,11,12,-0.3,0.1,11,34.95,44.02,9.07,1.0
2031-2032,6,TCH-003,Teacher 03,Y06-SEC-015,Precalculus - Synthetic Section 07-15,MATH-PRECALC,Precalculus,regular,small,11,12,-0.3,0.2,11,35.89,42.02,6.13,1.0
2028-2029,3,TCH-003,Teacher 03,Y03-SEC-012,Honors Algebra 2 - Synthetic Section 04-12,MATH-ALG2-H,Honors Algebra 2,honors,small,9,12,0.1,0.2,9,47.55,55.26,8.68,0.8889
2025-2026,0,TCH-002,Teacher 02,Y00-SEC-003,Geometry - Synthetic Section 01-03,MATH-GEOM,Geometry,regular,small,12,12,-0.1,0.1,12,38.03,51.8,8.77,1.0
2025-2026,0,TCH-001,Teacher 01,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,MATH-ALG1,Algebra 1,regular,small,11,12,-0.3,-0.25,11,28.36,43.29,9.96,1.0
2026-2027,1,TCH-004,Teacher 04,Y01-SEC-016,AP Precalculus - Synthetic Section 02-16,MATH-AP-PRECALC,AP Precalculus,ap,small,11,12,-0.2,-0.1,11,55.26,60.08,4.82,1.0
2026-2027,1,TCH-001,Teacher 01,Y01-SEC-003,Geometry - Synthetic Section 02-03,MATH-GEOM,Geometry,regular,standard,13,18,-0.1,-0.25,13,32.74,36.3,3.27,0.8462
2027-2028,2,TCH-004,Teacher 04,Y02-SEC-012,AP Precalculus - Synthetic Section 03-12,MATH-AP-PRECALC,AP Precalculus,ap,standard,13,18,0.1,-0.1,13,61.4,56.18,3.55,0.8462
2027-2028,2,TCH-004,Teacher 04,Y02-SEC-024,Beyond Core Math Sequence - Synthetic Section 03-24,MATH-BEYOND-CORE,Beyond Core Math Sequence,beyond_core,micro,6,6,-0.1,-0.1,6,28.19,68.22,0.43,1.0
2027-2028,2,TCH-003,Teacher 03,Y02-SEC-009,Honors Algebra 2 - Synthetic Section 03-09,MATH-ALG2-H,Honors Algebra 2,honors,standard,14,18,-0.2,0.2,14,56.79,61.57,4.78,1.0
2027-2028,2,TCH-002,Teacher 02,Y02-SEC-006,Algebra 2 - Synthetic Section 03-06,MATH-ALG2,Algebra 2,regular,standard,13,18,0.2,0.1,13,29.79,37.92,5.91,0.9231
2027-2028,2,TCH-005,Teacher 05,Y02-SEC-019,AP Calculus AB - Synthetic Section 03-19,MATH-AP-CALC-AB,AP Calculus AB,ap,small,12,12,0.1,0.05,12,58.51,62.46,3.95,1.0
2028-2029,3,TCH-005,Teacher 05,Y03-SEC-022,AP Calculus AB - Synthetic Section 04-22,MATH-AP-CALC-AB,AP Calculus AB,ap,standard,13,18,-0.3,0.05,13,43.18,48.92,6.22,0.9231
2029-2030,4,TCH-003,Teacher 03,Y04-SEC-012,Honors Algebra 2 - Synthetic Section 05-12,MATH-ALG2-H,Honors Algebra 2,honors,small,11,12,0.1,0.2,11,45.05,54.09,5.71,0.9091
2030-2031,5,TCH-003,Teacher 03,Y05-SEC-016,Precalculus - Synthetic Section 06-16,MATH-PRECALC,Precalculus,regular,standard,13,18,-0.2,0.2,13,41.6,42.13,3.93,0.9231
2030-2031,5,TCH-005,Teacher 05,Y05-SEC-020,AP Calculus AB - Synthetic Section 06-20,MATH-AP-CALC-AB,AP Calculus AB,ap,small,11,12,0.2,0.05,11,48.7,44.81,3.78,0.8182
2030-2031,5,TCH-002,Teacher 02,Y05-SEC-007,Algebra 2 - Synthetic Section 06-07,MATH-ALG2,Algebra 2,regular,small,11,12,0.3,0.1,11,24.06,44.97,8.4,1.0
2030-2031,5,TCH-001,Teacher 01,Y05-SEC-003,Geometry - Synthetic Section 06-03,MATH-GEOM,Geometry,regular,standard,13,18,-0.1,-0.25,13,37.6,48.36,6.75,1.0
2031-2032,6,TCH-004,Teacher 04,Y06-SEC-016,Precalculus - Synthetic Section 07-16,MATH-PRECALC,Precalculus,regular,small,11,12,-0.2,-0.1,11,36.33,44.69,4.11,1.0
2031-2032,6,TCH-004,Teacher 04,Y06-SEC-012,AP Precalculus - Synthetic Section 07-12,MATH-AP-PRECALC,AP Precalculus,ap,small,11,12,0.1,-0.1,11,59.5,65.15,5.64,1.0
2031-2032,6,TCH-003,Teacher 03,Y06-SEC-010,Honors Algebra 2 - Synthetic Section 07-10,MATH-ALG2-H,Honors Algebra 2,honors,standard,14,18,-0.1,0.2,14,54.05,66.4,6.9,1.0
2031-2032,6,TCH-005,Teacher 05,Y06-SEC-020,AP Calculus AB - Synthetic Section 07-20,MATH-AP-CALC-AB,AP Calculus AB,ap,standard,14,18,0.2,0.05,14,52.4,51.06,4.85,0.8571
2025-2026,0,TCH-005,Teacher 05,Y00-SEC-025,AP Calculus BC - Synthetic Section 01-25,MATH-AP-CALC-BC,AP Calculus BC,ap,small,12,12,0.0,0.05,12,61.34,58.94,5.85,0.8333
2025-2026,0,TCH-004,Teacher 04,Y00-SEC-016,AP Precalculus - Synthetic Section 01-16,MATH-AP-PRECALC,AP Precalculus,ap,small,10,12,-0.2,-0.1,10,48.04,62.56,5.31,0.9
2028-2029,3,TCH-004,Teacher 04,Y03-SEC-017,Precalculus - Synthetic Section 04-17,MATH-PRECALC,Precalculus,regular,standard,13,18,-0.1,-0.1,13,33.61,43.97,6.86,1.0
2029-2030,4,TCH-005,Teacher 05,Y04-SEC-021,AP Calculus AB - Synthetic Section 05-21,MATH-AP-CALC-AB,AP Calculus AB,ap,small,11,12,0.3,0.05,11,49.22,53.18,3.95,1.0
2029-2030,4,TCH-005,Teacher 05,Y04-SEC-022,AP Calculus AB - Synthetic Section 05-22,MATH-AP-CALC-AB,AP Calculus AB,ap,small,11,12,-0.3,0.05,11,44.14,45.34,8.38,0.9091
2030-2031,5,TCH-003,Teacher 03,Y05-SEC-010,Honors Algebra 2 - Synthetic Section 06-10,MATH-ALG2-H,Honors Algebra 2,honors,small,11,12,-0.1,0.2,11,63.56,43.83,7.92,0.6364
2031-2032,6,TCH-002,Teacher 02,Y06-SEC-006,Algebra 2 - Synthetic Section 07-06,MATH-ALG2,Algebra 2,regular,small,12,12,0.2,0.1,12,39.3,44.58,7.63,0.9167
2025-2026,0,TCH-001,Teacher 01,Y00-SEC-005,Geometry - Synthetic Section 01-05,MATH-GEOM,Geometry,regular,small,12,12,0.1,-0.25,12,47.04,42.64,5.82,0.8333
2025-2026,0,TCH-002,Teacher 02,Y00-SEC-006,Geometry - Synthetic Section 01-06,MATH-GEOM,Geometry,regular,small,12,12,0.2,0.1,12,48.99,47.14,4.04,0.8333
2025-2026,0,TCH-005,Teacher 05,Y00-SEC-021,AP Calculus AB - Synthetic Section 01-21,MATH-AP-CALC-AB,AP Calculus AB,ap,standard,13,18,0.3,0.05,13,49.84,51.12,4.73,0.7692
2025-2026,0,TCH-005,Teacher 05,Y00-SEC-022,AP Calculus AB - Synthetic Section 01-22,MATH-AP-CALC-AB,AP Calculus AB,ap,small,12,12,-0.3,0.05,12,51.06,57.59,6.53,1.0
2026-2027,1,TCH-003,Teacher 03,Y01-SEC-010,Honors Algebra 2 - Synthetic Section 02-10,MATH-ALG2-H,Honors Algebra 2,honors,standard,14,18,-0.1,0.2,14,58.33,57.75,3.95,0.8571
