school_year,school_year_offset,section_id,course_id,section_label,teacher_id,teacher_label,period_label,target_enrollment,max_capacity,class_size_band,section_growth_effect,teacher_growth_effect
2025-2026,0,Y00-SEC-001,MATH-ALG1,Algebra 1 - Synthetic Section 01-01,TCH-001,Teacher 01,Period 1,11,12,small,-0.3,-0.25
2025-2026,0,Y00-SEC-002,MATH-ALG1,Algebra 1 - Synthetic Section 01-02,TCH-001,Teacher 01,Period 2,10,12,small,-0.2,-0.25
2025-2026,0,Y00-SEC-003,MATH-GEOM,Geometry - Synthetic Section 01-03,TCH-002,Teacher 02,Period 1,12,12,small,-0.1,0.1
2025-2026,0,Y00-SEC-004,MATH-GEOM,Geometry - Synthetic Section 01-04,TCH-002,Teacher 02,Period 2,12,12,small,0.0,0.1
2025-2026,0,Y00-SEC-005,MATH-GEOM,Geometry - Synthetic Section 01-05,TCH-001,Teacher 01,Period 3,12,12,small,0.1,-0.25
2025-2026,0,Y00-SEC-006,MATH-GEOM,Geometry - Synthetic Section 01-06,TCH-002,Teacher 02,Period 3,12,12,small,0.2,0.1
2025-2026,0,Y00-SEC-007,MATH-GEOM,Geometry - Synthetic Section 01-07,TCH-001,Teacher 01,Period 4,12,12,small,0.3,-0.25
2025-2026,0,Y00-SEC-008,MATH-GEOM,Geometry - Synthetic Section 01-08,TCH-002,Teacher 02,Period 4,11,12,small,-0.3,0.1
2025-2026,0,Y00-SEC-009,MATH-ALG2,Algebra 2 - Synthetic Section 01-09,TCH-002,Teacher 02,Period 5,12,12,small,-0.2,0.1
2025-2026,0,Y00-SEC-010,MATH-ALG2,Algebra 2 - Synthetic Section 01-10,TCH-002,Teacher 02,Period 6,12,12,small,-0.1,0.1
2025-2026,0,Y00-SEC-011,MATH-ALG2,Algebra 2 - Synthetic Section 01-11,TCH-003,Teacher 03,Period 1,11,12,small,0.0,0.2
2025-2026,0,Y00-SEC-012,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 01-12,TCH-003,Teacher 03,Period 2,11,12,small,0.1,0.2
2025-2026,0,Y00-SEC-013,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 01-13,TCH-003,Teacher 03,Period 3,11,12,small,0.2,0.2
2025-2026,0,Y00-SEC-014,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 01-14,TCH-003,Teacher 03,Period 4,11,12,small,0.3,0.2
2025-2026,0,Y00-SEC-015,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 01-15,TCH-003,Teacher 03,Period 5,10,12,small,-0.3,0.2
2025-2026,0,Y00-SEC-016,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 01-16,TCH-004,Teacher 04,Period 1,10,12,small,-0.2,-0.1
2025-2026,0,Y00-SEC-017,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 01-17,TCH-004,Teacher 04,Period 2,10,12,small,-0.1,-0.1
2025-2026,0,Y00-SEC-018,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 01-18,TCH-004,Teacher 04,Period 3,9,12,small,0.0,-0.1
2025-2026,0,Y00-SEC-019,MATH-PRECALC,Precalculus - Synthetic Section 01-19,TCH-004,Teacher 04,Period 4,8,12,small,0.1,-0.1
2025-2026,0,Y00-SEC-020,MATH-PRECALC,Precalculus - Synthetic Section 01-20,TCH-004,Teacher 04,Period 5,8,12,small,0.2,-0.1
2025-2026,0,Y00-SEC-021,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 01-21,TCH-005,Teacher 05,Period 1,13,18,standard,0.3,0.05
2025-2026,0,Y00-SEC-022,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 01-22,TCH-005,Teacher 05,Period 2,12,12,small,-0.3,0.05
2025-2026,0,Y00-SEC-023,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 01-23,TCH-005,Teacher 05,Period 3,12,12,small,-0.2,0.05
2025-2026,0,Y00-SEC-024,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 01-24,TCH-005,Teacher 05,Period 4,12,12,small,-0.1,0.05
2025-2026,0,Y00-SEC-025,MATH-AP-CALC-BC,AP Calculus BC - Synthetic Section 01-25,TCH-005,Teacher 05,Period 5,12,12,small,0.0,0.05
2025-2026,0,Y00-SEC-026,MATH-AP-CALC-BC,AP Calculus BC - Synthetic Section 01-26,TCH-005,Teacher 05,Period 6,11,12,small,0.1,0.05
2026-2027,1,Y01-SEC-001,MATH-ALG1,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,Period 1,13,18,standard,-0.3,-0.25
2026-2027,1,Y01-SEC-002,MATH-GEOM,Geometry - Synthetic Section 02-02,TCH-002,Teacher 02,Period 1,14,18,standard,-0.2,0.1
2026-2027,1,Y01-SEC-003,MATH-GEOM,Geometry - Synthetic Section 02-03,TCH-001,Teacher 01,Period 2,13,18,standard,-0.1,-0.25
2026-2027,1,Y01-SEC-004,MATH-GEOM,Geometry - Synthetic Section 02-04,TCH-002,Teacher 02,Period 2,13,18,standard,0.0,0.1
2026-2027,1,Y01-SEC-005,MATH-GEOM,Geometry - Synthetic Section 02-05,TCH-001,Teacher 01,Period 3,13,18,standard,0.1,-0.25
2026-2027,1,Y01-SEC-006,MATH-ALG2,Algebra 2 - Synthetic Section 02-06,TCH-002,Teacher 02,Period 3,11,12,small,0.2,0.1
2026-2027,1,Y01-SEC-007,MATH-ALG2,Algebra 2 - Synthetic Section 02-07,TCH-002,Teacher 02,Period 4,11,12,small,0.3,0.1
2026-2027,1,Y01-SEC-008,MATH-ALG2,Algebra 2 - Synthetic Section 02-08,TCH-002,Teacher 02,Period 5,11,12,small,-0.3,0.1
2026-2027,1,Y01-SEC-009,MATH-ALG2,Algebra 2 - Synthetic Section 02-09,TCH-002,Teacher 02,Period 6,10,12,small,-0.2,0.1
2026-2027,1,Y01-SEC-010,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 02-10,TCH-003,Teacher 03,Period 1,14,18,standard,-0.1,0.2
2026-2027,1,Y01-SEC-011,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 02-11,TCH-003,Teacher 03,Period 2,13,18,standard,0.0,0.2
2026-2027,1,Y01-SEC-012,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 02-12,TCH-003,Teacher 03,Period 3,13,18,standard,0.1,0.2
